journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
Spintronics Devices,Avalanche Photodiode,ZnSe-based,Visible LEDs,274.23,3.905,2.685,2.632,0.201,0.317,415.3,2.986,0,-0.067,0.518,31.146,1,0.5
Photoelectric Effect,Quantum Well Laser,ZnSe-based,Optical Communication,301.76,2.693,3.494,3.033,0.245,0.343,359.6,3.448,0,-0.035,0.42,12.612,0,0.568
Quantum Cascade Laser,Quantum Cascade Laser,GaN/AlGaN,Non-Volatile Memory,270.59,2.399,4.161,3.108,0.318,0.34,370.8,3.345,0,-0.291,0.448,16.153,0,0.715
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Infrared Sensing,280.56,4.707,1.908,2.851,0.586,0.301,458.7,2.703,0,-0.121,0.556,29.834,1,0.523
Quantum Cascade Laser,Quantum Well Laser,ZnSe-based,Infrared Sensing,284.25,3.216,4.496,2.937,0.33,0.146,406,3.054,0,-0.08,0.458,20.361,0,0.671
k·p Perturbation Theory,2D-TMD FET,GaAs/AlGaAs,Infrared Sensing,273.57,3.805,1.806,1.745,0.461,0.238,678.4,1.828,0,-0.079,0.518,26.734,1,0.324
Photoelectric Effect,Spintronic MRAM Cell,GaN/AlGaN,Terahertz Emission,273.7,3.124,0.755,3.051,0.421,0.259,409,3.032,0,0.44,0.439,22.22,0,0.494
k·p Perturbation Theory,Quantum Well Laser,GaN/AlGaN,Optical Communication,296.39,2.413,4.593,2.966,0.337,0.26,360.7,3.438,0,-0.132,0.309,10.114,0,0.679
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Display Technology,269.58,3.011,0.5,3.453,0.201,0.307,380.6,3.258,0,0.296,0.462,17.674,0,0.509
Colloidal Quantum Dots,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,321.05,4.436,0.981,2.994,0.406,0.443,470.8,2.634,0,0.45,0.518,34.74,1,0.533
Single Quantum Well,Avalanche Photodiode,GaN/AlGaN,Optical Communication,277.06,3.555,3.53,2.904,0.15,0.381,423.1,2.931,0,-0.161,0.543,30.552,1,0.773
Single Quantum Well,Quantum Well Laser,WSe2,Non-Volatile Memory,370.24,1.289,2.772,1.701,0.46,0.201,718.8,1.725,1,0.019,0.209,0.66,0,0.233
Colloidal Quantum Dots,Spintronic MRAM Cell,GaAs/AlGaAs,Non-Volatile Memory,288.72,2.785,1.541,1.439,0.32,0.368,880.3,1.409,1,0.445,0.489,9.701,0,0.471
Spintronics Devices,QD-Based LCD Pixel,CdSe/CdS QDs,Visible LEDs,301.8,4.782,2.674,2.109,0.05,0.364,486.7,2.548,0,0.243,0.633,40.647,1,0.414
Schrodinger Cat Paradox,Quantum Well Laser,CdSe/CdS QDs,Display Technology,267.62,2.786,3.734,1.593,0.266,0.219,805.2,1.54,1,-0.12,0.397,10.08,0,0.439
Spintronics Devices,Avalanche Photodiode,ZnSe-based,Visible LEDs,342.65,1.2,3.434,2.492,0.365,0.385,652.8,1.9,0,0.153,0.174,2.104,0,0.708
Colloidal Quantum Dots,Avalanche Photodiode,WSe2,Visible LEDs,327.99,4.893,1.125,1.523,0.276,0.284,808.3,1.534,1,0.008,0.665,32.199,1,0.141
Single Quantum Well,Spintronic MRAM Cell,GaN/AlGaN,Visible LEDs,307.42,3.682,0.5,2.711,0.372,0.159,451.5,2.746,0,0.794,0.625,34.647,1,0.582
k·p Perturbation Theory,QD-Based LCD Pixel,GaAs/AlGaAs,Display Technology,266.33,2.93,3.961,1.271,0.215,0.346,1012.6,1.225,1,0.258,0.545,16.568,0,0.462
Spintronics Devices,QD-Based LCD Pixel,GaAs/AlGaAs,Non-Volatile Memory,305.27,2.629,0.89,1.527,0.169,0.322,894.3,1.386,1,0.039,0.449,11.732,0,0.147
Single Quantum Well,2D-TMD FET,GaN/AlGaN,Visible LEDs,271.96,4.082,0.617,2.949,0.293,0.277,469.2,2.643,0,-0.052,0.529,32.627,1,0.422
Photoelectric Effect,QD-Based LCD Pixel,InGaAs/InP,Terahertz Emission,336.56,2.458,2.6,0.829,0.303,0.296,1387.2,0.894,1,0.101,0.435,10.964,0,0.222
Spintronics Devices,Avalanche Photodiode,InGaAs/InP,Display Technology,320.23,4.148,6.615,0.616,0.265,0.228,2040,0.608,1,-0.036,0.613,21.811,1,0.511
Schrodinger Cat Paradox,Quantum Well Laser,MoS2,Terahertz Emission,302.39,3.542,5.153,1.708,0.423,0.361,854.7,1.451,1,0.336,0.505,16.346,0,0.533
Colloidal Quantum Dots,Spintronic MRAM Cell,InGaAs/InP,Display Technology,239.09,3.245,0.721,0.888,0.215,0.296,1427.4,0.869,1,0.357,0.362,13.575,0,0.126
Quantum Cascade Laser,2D-TMD FET,WSe2,Visible LEDs,275.41,3.146,1.652,1.819,0.331,0.317,624,1.987,0,-0.081,0.504,17.759,0,0.29
Quantum Cascade Laser,2D-TMD FET,MoS2,Display Technology,317.19,2.825,0.63,1.655,0.307,0.336,763.3,1.625,1,-0.092,0.438,7.779,0,0.117
Schrodinger Cat Paradox,Avalanche Photodiode,WSe2,Infrared Sensing,330.32,4.046,5.514,1.732,0.144,0.185,651.8,1.903,0,-0.243,0.457,25.182,1,0.716
Spintronics Devices,Avalanche Photodiode,GaN/AlGaN,Infrared Sensing,327.73,2.135,1.962,3.5,0.168,0.211,415.9,2.981,0,0.111,0.188,7.178,0,0.432
Schrodinger Cat Paradox,Quantum Well Laser,WSe2,Visible LEDs,260.2,1.378,5.61,1.696,0.301,0.079,683.1,1.815,0,-0.164,0.31,3.676,0,0.51
Single Quantum Well,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,307.54,3.614,3.391,1.792,0.498,0.356,695.7,1.782,0,0.22,0.627,32.89,1,0.501
Colloidal Quantum Dots,Spintronic MRAM Cell,WSe2,Non-Volatile Memory,325.39,3.631,0.5,1.665,0.358,0.179,701.7,1.767,1,0.66,0.527,23.112,1,0.413
k·p Perturbation Theory,Spintronic MRAM Cell,InGaAs/InP,Visible LEDs,258.54,3.48,0.891,0.814,0.127,0.313,1496.3,0.829,1,0.632,0.367,16.822,0,0.261
k·p Perturbation Theory,Quantum Cascade Laser,WSe2,Visible LEDs,299.8,3.408,4.416,1.67,0.05,0.337,816.9,1.518,1,0.23,0.512,20.908,1,0.669
k·p Perturbation Theory,Avalanche Photodiode,CdSe/CdS QDs,Infrared Sensing,306.85,2.679,3.258,1.991,0.373,0.36,628.1,1.974,0,-0.43,0.493,8.135,0,0.505
Quantum Cascade Laser,QD-Based LCD Pixel,GaN/AlGaN,Non-Volatile Memory,292.48,3.787,3.554,2.567,0.29,0.18,455.1,2.725,0,0.404,0.561,30.163,1,0.637
Schrodinger Cat Paradox,Quantum Cascade Laser,InGaAs/InP,Visible LEDs,253.7,2.954,3.126,0.656,0.414,0.293,1834.1,0.676,1,-0.085,0.39,13.276,0,0.251
Colloidal Quantum Dots,QD-Based LCD Pixel,GaN/AlGaN,Non-Volatile Memory,291.86,2.513,3.62,2.955,0.212,0.467,326,3.804,0,0.028,0.356,10.472,0,0.594
Colloidal Quantum Dots,2D-TMD FET,WSe2,Visible LEDs,291.82,2.688,1.221,1.667,0.335,0.471,681.3,1.82,0,0.114,0.589,21.533,0,0.306
k·p Perturbation Theory,Avalanche Photodiode,InGaAs/InP,Infrared Sensing,296.3,5.021,3.909,0.715,0.385,0.399,1739.7,0.713,1,0.145,0.751,38.003,1,0.291
Spintronics Devices,Avalanche Photodiode,GaAs/AlGaAs,Terahertz Emission,285.91,1.265,3.338,1.365,0.255,0.334,957.7,1.295,1,0.055,0.374,4.505,0,0.328
Photoelectric Effect,2D-TMD FET,ZnSe-based,Visible LEDs,288.92,3.5,1.076,2.812,0.257,0.199,412.9,3.003,0,0.199,0.507,29.59,1,0.42
Quantum Cascade Laser,Spintronic MRAM Cell,InGaAs/InP,Optical Communication,299.01,1.321,1.275,0.933,0.303,0.372,1407,0.881,1,0.792,0.25,6.789,0,0.523
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Visible LEDs,311.06,2.892,7.093,2.97,0.354,0.284,381.6,3.249,0,0.352,0.443,18.038,0,0.825
Colloidal Quantum Dots,Spintronic MRAM Cell,MoS2,Non-Volatile Memory,292.39,2.566,1.47,1.88,0.299,0.356,647.7,1.914,0,0.573,0.414,14.908,0,0.644
Single Quantum Well,Spintronic MRAM Cell,MoS2,Optical Communication,289.76,0.915,1.488,1.692,0.397,0.237,679,1.826,0,0.758,0.287,0,0,0.508
Single Quantum Well,2D-TMD FET,MoS2,Infrared Sensing,302.31,3.389,2.544,1.914,0.254,0.283,697.3,1.778,0,0.18,0.531,24.386,0,0.415
Photoelectric Effect,Avalanche Photodiode,CdSe/CdS QDs,Optical Communication,251.98,2.62,4.774,2.113,0.167,0.316,691.8,1.792,0,-0.361,0.215,2.797,0,0.578
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Non-Volatile Memory,311.93,0.901,1.242,0.93,0.498,0.325,1245.4,0.996,1,0.522,0.377,4.164,0,0.268
Colloidal Quantum Dots,2D-TMD FET,ZnSe-based,Display Technology,299.99,3.84,1.352,2.943,0.24,0.349,404.1,3.069,0,-0.115,0.592,30.264,1,0.373
Photoelectric Effect,Avalanche Photodiode,ZnSe-based,Terahertz Emission,300.99,4.435,2.487,2.918,0.243,0.242,488.2,2.54,0,0.299,0.477,30.818,1,0.513
Quantum Cascade Laser,Quantum Well Laser,GaAs/AlGaAs,Visible LEDs,324.02,4.49,3.334,1.38,0.293,0.166,826,1.501,1,0.005,0.635,32.174,1,0.303
Quantum Cascade Laser,Spintronic MRAM Cell,GaN/AlGaN,Terahertz Emission,251.18,3.359,0.747,3.073,0.307,0.462,431.8,2.872,0,0.566,0.327,16.547,0,0.529
Quantum Cascade Laser,Quantum Well Laser,GaAs/AlGaAs,Infrared Sensing,250.65,3.046,4.971,1.613,0.261,0.549,830,1.494,1,-0.138,0.412,19.531,0,0.567
k·p Perturbation Theory,Avalanche Photodiode,ZnSe-based,Display Technology,306.85,4.328,3.739,2.67,0.298,0.345,468.4,2.647,0,0.125,0.662,38.669,1,0.505
Schrodinger Cat Paradox,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,299.82,4.682,4.207,1.274,0.296,0.168,1000.6,1.239,1,-0.051,0.694,26.918,1,0.332
Single Quantum Well,2D-TMD FET,GaN/AlGaN,Display Technology,304.25,4.134,1.544,3.054,0.317,0.223,494,2.51,0,0.316,0.507,27.619,1,0.515
Schrodinger Cat Paradox,2D-TMD FET,MoS2,Display Technology,288.45,2.058,1.432,1.883,0.064,0.351,755.9,1.64,1,0.088,0.406,6.973,0,0.371
Schrodinger Cat Paradox,Quantum Well Laser,InGaAs/InP,Non-Volatile Memory,316.61,3.201,3.757,0.676,0.488,0.434,1830.2,0.678,1,0.187,0.606,22.789,1,0.366
k·p Perturbation Theory,2D-TMD FET,CdSe/CdS QDs,Infrared Sensing,323.32,3.44,0.665,1.978,0.285,0.179,600.4,2.065,0,-0.433,0.529,19.739,0,0.4
k·p Perturbation Theory,Quantum Well Laser,ZnSe-based,Non-Volatile Memory,312.1,1.19,5.703,2.781,0.358,0.288,399.9,3.101,0,-0.017,0.315,3.442,0,0.556
Photoelectric Effect,QD-Based LCD Pixel,MoS2,Display Technology,293.48,3.469,3.774,1.357,0.162,0.32,962.7,1.288,1,0.082,0.638,23.023,1,0.31
Spintronics Devices,2D-TMD FET,MoS2,Terahertz Emission,247.31,5.273,0.5,1.756,0.253,0.386,637.5,1.945,0,0.045,0.406,23.738,0,0.121
Schrodinger Cat Paradox,2D-TMD FET,InGaAs/InP,Terahertz Emission,319.23,3.64,0.843,0.776,0.233,0.266,1584.5,0.783,1,0.192,0.595,25.855,1,0.267
Schrodinger Cat Paradox,Avalanche Photodiode,MoS2,Infrared Sensing,330.54,4.473,4.248,1.768,0.447,0.144,706.5,1.755,1,-0.073,0.516,24.257,1,0.501
Single Quantum Well,2D-TMD FET,InGaAs/InP,Non-Volatile Memory,316.11,3.183,1.389,1.012,0.241,0.362,1199.7,1.034,1,0.01,0.59,23.131,1,0.105
Schrodinger Cat Paradox,Quantum Well Laser,MoS2,Optical Communication,278.01,2.927,5.365,1.557,0.376,0.412,810.5,1.53,1,0.236,0.506,15.038,0,0.54
Quantum Cascade Laser,Spintronic MRAM Cell,InGaAs/InP,Display Technology,316.84,3.381,1.142,0.676,0.235,0.292,1961.7,0.632,1,0.687,0.551,25.755,1,0.332
k·p Perturbation Theory,Quantum Cascade Laser,GaN/AlGaN,Terahertz Emission,321.51,2.184,4.878,2.216,0.255,0.341,553.4,2.241,0,0.118,0.478,9.307,0,0.515
Spintronics Devices,Avalanche Photodiode,MoS2,Optical Communication,338.97,2.036,4.096,1.704,0.275,0.253,706,1.756,1,-0.067,0.265,0.889,0,0.476
Colloidal Quantum Dots,Quantum Well Laser,GaN/AlGaN,Non-Volatile Memory,278.1,4.266,2.989,2.881,0.428,0.215,481.1,2.577,0,-0.182,0.608,28.858,1,0.54
Quantum Cascade Laser,QD-Based LCD Pixel,MoS2,Terahertz Emission,294.34,4.372,2.739,1.698,0.111,0.403,742.2,1.671,1,0.067,0.7,30.764,1,0.5
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Terahertz Emission,318.68,2.009,4.028,3.332,0.168,0.339,444.1,2.792,0,0.245,0.335,12.277,0,0.792
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Visible LEDs,301.44,3.968,0.983,1.572,0.105,0.349,797,1.556,1,0.299,0.66,26.609,1,0.414
Schrodinger Cat Paradox,Quantum Cascade Laser,CdSe/CdS QDs,Optical Communication,272.07,2.913,1.172,2.023,0.191,0.45,600.4,2.065,0,-0.027,0.388,13.666,0,0.323
Schrodinger Cat Paradox,Quantum Cascade Laser,WSe2,Terahertz Emission,310.37,3.34,3.404,1.626,0.219,0.195,673.5,1.841,0,0.175,0.52,23.774,0,0.406
Colloidal Quantum Dots,2D-TMD FET,InGaAs/InP,Terahertz Emission,314.47,3.46,1.028,0.954,0.139,0.245,1218.9,1.017,1,0.174,0.598,24.1,1,0.243
Colloidal Quantum Dots,Quantum Well Laser,GaN/AlGaN,Non-Volatile Memory,302.2,3.994,3.578,2.994,0.227,0.316,322.4,3.847,0,-0.017,0.442,21.972,0,0.519
Colloidal Quantum Dots,QD-Based LCD Pixel,GaAs/AlGaAs,Terahertz Emission,305.49,3.083,2.753,1.236,0.099,0.244,1021.9,1.213,1,-0.139,0.563,15.958,0,0.444
Spintronics Devices,QD-Based LCD Pixel,WSe2,Optical Communication,293.53,4.41,3.488,1.357,0.198,0.378,845.8,1.466,1,-0.127,0.553,19.428,0,0.417
Quantum Cascade Laser,Quantum Cascade Laser,MoS2,Non-Volatile Memory,336.96,3.309,2.382,1.712,0.42,0.281,787.2,1.575,1,0.168,0.359,11.133,0,0.394
Spintronics Devices,Avalanche Photodiode,GaN/AlGaN,Optical Communication,277.48,3.624,1.558,3.226,0.34,0.201,385.8,3.214,0,-0.008,0.684,37.045,1,0.445
Single Quantum Well,Quantum Well Laser,InGaAs/InP,Terahertz Emission,285.32,2.167,3.478,1.141,0.319,0.307,1074.1,1.154,1,-0.209,0.377,7.802,0,0.517
Spintronics Devices,2D-TMD FET,GaAs/AlGaAs,Display Technology,300.27,5.159,1.382,1.412,0.2,0.317,835.8,1.484,1,-0.337,0.793,32.359,1,0.248
Colloidal Quantum Dots,2D-TMD FET,GaAs/AlGaAs,Terahertz Emission,321.97,3.47,1.844,1.247,0.146,0.393,1025.6,1.209,1,0.166,0.514,22.945,1,0.413
Colloidal Quantum Dots,Avalanche Photodiode,MoS2,Non-Volatile Memory,262.57,3.713,5.173,1.563,0.186,0.339,753.1,1.646,1,-0.109,0.465,15.791,0,0.502
Spintronics Devices,Quantum Well Laser,CdSe/CdS QDs,Optical Communication,267.24,1.392,1.798,2.166,0.296,0.346,523.3,2.369,0,0.066,0.318,9.46,0,0.253
Photoelectric Effect,Quantum Well Laser,GaAs/AlGaAs,Optical Communication,249.06,2.177,3.651,1.047,0.387,0.332,1243.7,0.997,1,0.248,0.266,10.064,0,0.361
Colloidal Quantum Dots,Quantum Well Laser,CdSe/CdS QDs,Visible LEDs,300.82,4.238,4.385,2.165,0.39,0.281,590.5,2.1,0,-0.262,0.758,39.856,1,0.484
Single Quantum Well,QD-Based LCD Pixel,InGaAs/InP,Display Technology,272.04,3.287,3.178,0.923,0.363,0.228,1332.2,0.931,1,-0.009,0.524,13.48,0,0.314
Colloidal Quantum Dots,2D-TMD FET,GaN/AlGaN,Optical Communication,290.39,1.086,1.27,3.131,0.226,0.329,428.1,2.896,0,-0.034,0.313,10.825,0,0.345
Quantum Cascade Laser,Quantum Well Laser,ZnSe-based,Terahertz Emission,316.53,4.038,2.624,2.756,0.302,0.267,450.4,2.753,0,0.076,0.639,35.866,1,0.489
k·p Perturbation Theory,QD-Based LCD Pixel,GaAs/AlGaAs,Infrared Sensing,283.96,2.456,3.065,1.513,0.268,0.469,838.7,1.478,1,0.248,0.495,11.72,0,0.508
Single Quantum Well,Avalanche Photodiode,GaAs/AlGaAs,Visible LEDs,305.78,4.411,4.63,1.434,0.28,0.434,823.8,1.505,1,-0.266,0.761,34.241,1,0.483
k·p Perturbation Theory,Quantum Cascade Laser,WSe2,Infrared Sensing,292.52,2.912,5.239,1.544,0.504,0.363,906.4,1.368,1,0.114,0.491,17.206,0,0.5
Colloidal Quantum Dots,Spintronic MRAM Cell,CdSe/CdS QDs,Visible LEDs,316.8,3.205,0.597,2.555,0.124,0.338,456.3,2.717,0,0.072,0.599,30.368,1,0.232
Single Quantum Well,QD-Based LCD Pixel,GaN/AlGaN,Visible LEDs,311.88,4.179,2.655,2.894,0.277,0.291,506.2,2.45,0,-0.037,0.48,24.085,0,0.453
Quantum Cascade Laser,2D-TMD FET,MoS2,Optical Communication,282.7,2.103,0.5,1.955,0.421,0.174,624.8,1.985,0,-0.027,0.451,12.684,0,0.403
Quantum Cascade Laser,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,295.78,2.007,3.068,1.274,0.153,0.278,1013.3,1.224,1,0.084,0.44,4.916,0,0.388
Colloidal Quantum Dots,Avalanche Photodiode,WSe2,Display Technology,326.09,2.804,3.213,1.955,0.236,0.31,670.9,1.848,0,0.069,0.397,17.06,0,0.4
Spintronics Devices,Avalanche Photodiode,MoS2,Terahertz Emission,309.83,3.827,2.471,2.094,0.247,0.323,649.6,1.909,0,0.116,0.593,31.114,1,0.364
Colloidal Quantum Dots,Avalanche Photodiode,InGaAs/InP,Infrared Sensing,265.08,1.669,4.248,0.804,0.278,0.347,1499.3,0.827,1,0.112,0.322,5.838,0,0.364
Single Quantum Well,2D-TMD FET,ZnSe-based,Terahertz Emission,316.39,1.332,0.972,2.912,0.14,0.392,479.6,2.585,0,-0.196,0.252,3.29,0,0.448
Quantum Cascade Laser,QD-Based LCD Pixel,ZnSe-based,Terahertz Emission,272.88,3.824,0.741,2.912,0.36,0.231,518.2,2.393,0,0.198,0.442,22.841,0,0.396
Quantum Cascade Laser,Avalanche Photodiode,MoS2,Terahertz Emission,335.31,2.397,4.323,1.671,0.367,0.232,728.9,1.701,1,0.233,0.394,7.185,0,0.561
k·p Perturbation Theory,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,325.6,2.608,0.536,1.509,0.351,0.445,823.2,1.506,1,0.037,0.453,14.399,0,0.114
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Terahertz Emission,307.25,1.143,4.729,0.679,0.213,0.377,1800.8,0.689,1,-0.299,0.316,7.513,0,0.394
Spintronics Devices,Spintronic MRAM Cell,GaAs/AlGaAs,Non-Volatile Memory,303.93,2.321,0.5,1.278,0.309,0.261,952.8,1.301,1,0.676,0.461,10.249,0,0.439
Photoelectric Effect,Quantum Cascade Laser,InGaAs/InP,Optical Communication,294.77,2.992,4.045,0.969,0.21,0.289,1365.2,0.908,1,0.039,0.529,18.208,0,0.262
Colloidal Quantum Dots,Quantum Well Laser,GaAs/AlGaAs,Infrared Sensing,316.96,3.93,3.575,1.595,0.267,0.29,727.3,1.705,1,-0.229,0.603,24.527,1,0.515
Single Quantum Well,2D-TMD FET,GaN/AlGaN,Display Technology,290.73,2.229,1.152,2.788,0.515,0.303,397.6,3.118,0,-0.072,0.349,9.708,0,0.384
Single Quantum Well,Quantum Well Laser,WSe2,Optical Communication,305.89,4.657,4.187,1.553,0.31,0.347,878.9,1.411,1,-0.282,0.794,29.011,1,0.395
Spintronics Devices,Avalanche Photodiode,GaN/AlGaN,Visible LEDs,321.8,2.315,3.617,2.806,0.181,0.553,473.1,2.621,0,0.121,0.325,5.908,0,0.574
Quantum Cascade Laser,Avalanche Photodiode,WSe2,Display Technology,285.95,2.317,1.696,1.847,0.318,0.319,777.5,1.595,1,0.033,0.37,6.119,0,0.176
Colloidal Quantum Dots,Avalanche Photodiode,GaN/AlGaN,Optical Communication,284.6,4.537,1.784,2.7,0.165,0.366,436.7,2.839,0,-0.329,0.604,26.002,1,0.569
Quantum Cascade Laser,Quantum Well Laser,MoS2,Visible LEDs,270.14,3.211,3.124,1.871,0.18,0.131,668.9,1.854,0,0.07,0.601,30.806,1,0.386
Quantum Cascade Laser,Quantum Well Laser,InGaAs/InP,Infrared Sensing,273.39,2.448,3.988,0.912,0.196,0.252,1326.6,0.935,1,-0.011,0.363,9.92,0,0.448
Photoelectric Effect,QD-Based LCD Pixel,ZnSe-based,Non-Volatile Memory,254.29,2.845,2.392,2.782,0.256,0.423,452.8,2.738,0,0.103,0.396,15.298,0,0.551
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Infrared Sensing,318.25,4.353,1.313,1.602,0.394,0.34,685.3,1.809,0,-0.078,0.592,26.192,1,0.184
Single Quantum Well,Quantum Well Laser,ZnSe-based,Terahertz Emission,345.22,4.466,3.581,2.739,0.358,0.05,486.9,2.546,0,-0.16,0.446,19.131,0,0.433
k·p Perturbation Theory,Avalanche Photodiode,ZnSe-based,Optical Communication,335.63,2.183,2.552,2.757,0.352,0.367,465.9,2.662,0,-0.154,0.416,11.047,0,0.453
k·p Perturbation Theory,Spintronic MRAM Cell,ZnSe-based,Terahertz Emission,259.35,2.958,0.861,2.605,0.19,0.492,473.2,2.62,0,0.686,0.477,27.488,1,0.514
Spintronics Devices,2D-TMD FET,InGaAs/InP,Display Technology,318.12,3.09,1.113,0.953,0.246,0.1,1282.2,0.967,1,0.004,0.521,14.672,0,0.263
Spintronics Devices,QD-Based LCD Pixel,ZnSe-based,Terahertz Emission,335.55,2.014,3.325,2.647,0.327,0.452,423.8,2.926,0,0.03,0.326,10.71,0,0.49
Single Quantum Well,QD-Based LCD Pixel,MoS2,Terahertz Emission,288.58,2.944,4.878,1.87,0.237,0.05,699.5,1.773,0,-0.038,0.425,15.273,0,0.567
Schrodinger Cat Paradox,Spintronic MRAM Cell,ZnSe-based,Infrared Sensing,302.54,3.005,0.666,2.786,0.272,0.394,386.6,3.208,0,0.695,0.45,20.939,0,0.591
Photoelectric Effect,Quantum Cascade Laser,InGaAs/InP,Terahertz Emission,249.8,4.14,3.89,0.642,0.344,0.299,1956.8,0.634,1,-0.07,0.387,19.625,0,0.295
Single Quantum Well,Avalanche Photodiode,GaN/AlGaN,Non-Volatile Memory,306.67,4.207,4.639,2.817,0.265,0.065,543.9,2.28,0,0.502,0.483,28.226,1,0.788
Single Quantum Well,2D-TMD FET,InGaAs/InP,Terahertz Emission,273.41,2.671,0.988,1.007,0.323,0.345,1305.1,0.95,1,-0.154,0.362,7.453,0,0.274
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaN/AlGaN,Terahertz Emission,304.99,2.786,2.499,3.06,0.459,0.415,329.9,3.759,0,-0.112,0.389,18.384,0,0.542
Schrodinger Cat Paradox,Quantum Well Laser,GaAs/AlGaAs,Non-Volatile Memory,260.97,3.664,1.676,1.198,0.283,0.336,1008.1,1.23,1,0.659,0.39,16.97,0,0.4
Photoelectric Effect,QD-Based LCD Pixel,WSe2,Visible LEDs,313.57,2.415,2.489,1.761,0.418,0.358,725.2,1.71,1,0.084,0.465,14.592,0,0.466
Spintronics Devices,Quantum Well Laser,GaN/AlGaN,Optical Communication,325.61,3.589,2.389,2.956,0.356,0.259,415.9,2.981,0,-0.276,0.495,20.702,0,0.548
k·p Perturbation Theory,QD-Based LCD Pixel,ZnSe-based,Optical Communication,280.42,2.912,1.273,3.491,0.153,0.114,300,4.133,0,0.169,0.326,17.395,0,0.484
Spintronics Devices,QD-Based LCD Pixel,MoS2,Visible LEDs,271.58,2.031,2.204,1.857,0.19,0.369,687,1.805,0,-0.182,0.428,11.135,0,0.193
Quantum Cascade Laser,Quantum Well Laser,WSe2,Display Technology,246.1,2.043,2.429,1.624,0.217,0.475,763.1,1.625,1,0.182,0.323,7.797,0,0.419
Single Quantum Well,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,293.34,4.447,4.876,1.684,0.215,0.413,832.1,1.49,1,-0.042,0.684,30.076,1,0.489
Single Quantum Well,Quantum Well Laser,GaAs/AlGaAs,Visible LEDs,285.46,2.844,4.902,1.032,0.291,0.101,1189.1,1.043,1,-0.088,0.603,15.813,0,0.432
Photoelectric Effect,Spintronic MRAM Cell,InGaAs/InP,Infrared Sensing,261.22,4.64,0.548,0.814,0.361,0.149,1581.5,0.784,1,0.495,0.487,23.94,1,0.26
Spintronics Devices,2D-TMD FET,ZnSe-based,Non-Volatile Memory,311.33,2.486,0.87,3.199,0.426,0.215,324.3,3.824,0,0.113,0.428,12.806,0,0.392
Quantum Cascade Laser,Quantum Well Laser,WSe2,Non-Volatile Memory,288.75,3.291,1.213,1.677,0.331,0.141,688.1,1.802,0,0.195,0.477,25.036,1,0.282
Photoelectric Effect,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,273.11,5.393,3.258,1.053,0.255,0.304,1213.3,1.022,1,0.087,0.677,32.012,1,0.354
Single Quantum Well,2D-TMD FET,GaAs/AlGaAs,Display Technology,286.14,1.943,1.199,1.321,0.092,0.339,993,1.249,1,-0.089,0.367,2.07,0,0.265
Schrodinger Cat Paradox,Avalanche Photodiode,GaAs/AlGaAs,Non-Volatile Memory,326.78,1.102,5.237,1.691,0.307,0.157,685.5,1.809,0,0.122,0.238,0,0,0.523
Schrodinger Cat Paradox,Quantum Well Laser,WSe2,Terahertz Emission,315.07,4.287,2.93,1.775,0.303,0.378,699.7,1.772,0,0.242,0.708,36.14,1,0.515
Spintronics Devices,Quantum Cascade Laser,GaN/AlGaN,Visible LEDs,296.75,2.173,5.578,2.748,0.318,0.36,382.1,3.245,0,0.027,0.4,12.799,0,0.641
Quantum Cascade Laser,Spintronic MRAM Cell,InGaAs/InP,Terahertz Emission,315.48,2.979,0.5,0.697,0.511,0.245,1769.4,0.701,1,0.898,0.588,17.976,0,0.402
Spintronics Devices,Spintronic MRAM Cell,GaN/AlGaN,Visible LEDs,270.98,2.414,0.5,2.832,0.424,0.283,479.7,2.585,0,0.508,0.383,14.027,0,0.542
Spintronics Devices,Avalanche Photodiode,GaAs/AlGaAs,Optical Communication,300.81,3.268,5.064,1.472,0.379,0.105,820.5,1.511,1,0.042,0.601,21.101,1,0.376
k·p Perturbation Theory,2D-TMD FET,WSe2,Visible LEDs,303.68,2.049,1.836,1.968,0.204,0.267,617.7,2.007,0,0.05,0.45,11.302,0,0.339
