Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
CVD,C2H2,680.63,297.54,0.94,115.51,91.36,0.479,14.227,879.32,82,747300,153.9969,Biomedical,20.38,13.65,25.02,Drift_in_Sensitivity,4,8,3,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1186.34,595.74,2.04,92.75,89.42,0.802,1.697,1022.15,109.27,773100,135.061,Interconnect,8.17,9.87,14.01,Pore_Collapse,7,8,6,0,CNT_Energy_Electrodes
CVD,CH4,646.01,191.63,1.16,65.36,85.52,0.77,1.092,922.58,99.65,663800,176.5093,Biomedical,5.63,25.8,47.04,Contamination,7,6,4,1,CNT_EMI_Composites
CVD,CO,688.94,241.39,2.61,55.64,95.96,0.55,10.881,1587.28,111.78,675500,144.7547,Energy_Electrode,37.35,8.22,113.35,Contamination,5,3,7,0,CNT_EMI_Composites
Arc Discharge,Ar,3592.55,240.55,0.57,90.8,74.82,0.414,3.499,1534.8,149.69,527000,186.2498,Interconnect,0.7,0.27,35.84,Drift_in_Sensitivity,4,2,4,0,CNT_EMI_Composites
CVD,C2H2,773.24,167.86,1.02,71.43,90.5,0.461,14.898,788.35,87.86,645700,185.415,Interconnect,9.44,8.9,15.45,Junction_Breakdown,6,6,4,0,CNT_Sensors
Laser Ablation,Ar,1407.63,538.54,1.59,61.05,88.4,0.691,27.892,1561.79,55.75,672800,142.1749,Energy_Electrode,34.38,15.81,133.9,Electromigration,8,7,4,1,CNT_Interconnects
CVD,CO,824.87,249.23,1.44,66.76,85.23,0.535,11.908,1387.78,40.2,681500,137.5178,Interconnect,19.29,6.83,26.26,Drift_in_Sensitivity,9,4,8,1,CNT_EMI_Composites
Laser Ablation,Ar,1177.35,576.54,2.67,39.26,85.37,0.707,1.227,969.19,67.42,735500,112.16,Interconnect,16.25,2.38,10.76,Matrix_Cracking,8,3,3,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1329.2,544.93,2.08,54.94,89.89,0.763,1.342,1276.13,110.45,812500,136.0329,Biomedical,22.66,30.88,31.86,Contamination,6,2,5,1,CNT_Interconnects
CVD,CO,728.83,377.25,0.52,56.96,97.06,0.417,11.438,1913.15,122.44,766700,134.1035,EMI_Shielding,37.17,2.91,76.94,Contamination,7,7,6,1,CNT_Interconnects
CVD,CH4,739.54,228.29,2.26,56.36,95.86,0.453,21.441,1644.59,114.25,656100,178.1663,Interconnect,10.52,3.31,26.36,Electromigration,9,7,5,1,CNT_Interconnects
Arc Discharge,Ar,4703.6,246.15,0.67,17.29,73.44,0.581,12.599,273.66,58.2,621700,174.4728,EMI_Shielding,66.27,3.69,61.8,Matrix_Cracking,8,3,2,1,CNT_Interconnects
Arc Discharge,Ar,3966.01,476.37,1.37,27.01,70.07,0.331,7.734,188.58,60.06,509000,159.333,Energy_Electrode,10.58,16.41,99.87,Junction_Breakdown,8,5,6,1,CNT_Sensors
CVD,C2H2,753.11,139.52,2.62,42.37,92.82,0.626,23.031,1198.9,115.03,931400,113.5284,Sensor,23.32,71.3,17.88,Pore_Collapse,9,7,2,1,CNT_Interconnects
CVD,CH4,745.05,180.72,0.51,69.97,94.37,0.692,28.295,1075.32,46.56,741200,114.5904,EMI_Shielding,79.05,5.82,25.77,Matrix_Cracking,9,6,7,1,CNT_Interconnects
CVD,CO,703.08,315.67,1.57,41.82,85.45,0.434,10.664,667.54,97.43,610300,157.9814,EMI_Shielding,62.24,8.98,79.18,Contamination,7,2,5,1,CNT_Sensors
CVD,C2H2,688.95,200.71,2.36,83.7,91.49,0.499,21.674,1050.65,56.13,851800,140.542,EMI_Shielding,45.79,1.32,58.33,Pore_Collapse,9,3,3,1,CNT_Sensors
Arc Discharge,He,4034.2,409.44,2.07,39.08,86.5,0.226,27.545,1339.69,48.48,481900,175.2291,Energy_Electrode,32.27,18.3,227.44,Drift_in_Sensitivity,6,6,5,1,CNT_Energy_Electrodes
Arc Discharge,He,4406.18,383.83,1.1,58.98,77.44,0.322,6.632,266.32,114.7,576800,169.0638,Energy_Electrode,36.89,12.85,238.85,Electromigration,8,4,5,1,CNT_Synthesis_Optimization
Arc Discharge,He,4126.38,290.41,1.45,56.73,71.23,0.586,29.499,1173.51,108.46,585300,188.6784,Biomedical,6.48,39.11,66.39,Junction_Breakdown,8,2,6,0,CNT_Energy_Electrodes
CVD,CH4,702.57,361.73,0.68,87.03,86.95,0.562,2.676,497.02,84.17,608100,150.5255,Interconnect,3.65,1.39,36.18,Pore_Collapse,5,2,7,1,CNT_Sensors
CVD,CO,645.58,123.24,1.33,32.08,90.66,0.438,23.897,1927.14,146.42,632300,186.1232,EMI_Shielding,57.42,3.35,21.3,Thermal_Runaway,4,8,5,1,CNT_Interconnects
Arc Discharge,He,3884.06,480.31,1.26,75.21,75.26,0.576,4.685,329.99,106.25,671100,126.0376,EMI_Shielding,73.48,9.76,38.14,Junction_Breakdown,7,2,6,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1155.33,462.51,2.06,72.71,89.61,0.748,1.986,1398.52,83.52,983000,97.6568,Interconnect,6.58,8.75,11.76,Pore_Collapse,8,3,5,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1245.82,476.66,1.5,13.53,85.25,0.847,1.111,64.68,83.5,753200,142.7008,EMI_Shielding,50.54,5.67,68.26,Matrix_Cracking,4,4,3,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1149.46,549.23,1.81,51.78,89.89,0.817,0.843,1072.78,49.76,826000,130.2381,Biomedical,5.92,26.13,72.07,Electromigration,4,2,7,0,CNT_Sensors
Laser Ablation,Ar,1229.36,534.19,2.96,85.71,87.56,0.723,1.245,1376.15,62.3,925400,97.1702,EMI_Shielding,63.05,3.11,8.62,Matrix_Cracking,6,3,3,0,CNT_Sensors
Arc Discharge,He,4025.57,345.27,2.51,42.34,80.39,0.225,23.157,982.38,146.08,501200,186.9042,Biomedical,5.09,28.6,15.23,Matrix_Cracking,8,6,3,1,CNT_Synthesis_Optimization
CVD,CO,807.53,373.4,2.43,89.6,86.06,0.645,19.689,158.67,146.54,685600,136.4043,Interconnect,18.71,0.93,11.29,Pore_Collapse,5,4,2,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4226.25,365.66,1.43,71.09,81.72,0.424,3.56,1312.78,89.33,723400,126.5519,Interconnect,4,5.74,22.21,Contamination,5,6,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1087.96,462.79,1.56,63.55,88.78,0.781,1.182,1241.54,86.06,791500,133.4016,Interconnect,3.85,3.9,10.33,Matrix_Cracking,7,8,4,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,3588.52,376.35,0.82,91.88,83.07,0.301,9.361,226.12,70.05,536600,163.2829,Interconnect,0.72,2.1,17.03,Drift_in_Sensitivity,7,2,5,1,CNT_Interconnects
Laser Ablation,Ar,1157.73,558.6,1.39,67.87,85.18,0.897,0.788,1079.4,136.42,964600,111.0827,Biomedical,9.35,30.72,60.39,Matrix_Cracking,5,5,6,0,CNT_Sensors
Laser Ablation,Ar,1194.32,511.85,1.71,71.45,86.4,0.669,18.618,1045.2,116.27,707500,125.9709,Energy_Electrode,20.62,19.52,259.06,Thermal_Runaway,7,2,8,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4110.9,205.49,2.11,74.82,85.88,0.477,8.25,1777.26,105.12,792000,124.6037,Sensor,7.74,16.88,52.58,Electromigration,8,2,5,1,CNT_Interconnects
Arc Discharge,Ar,3828.94,300.59,1.69,57.23,84.42,0.466,16.779,1935,88.59,663500,167.9959,Interconnect,0.24,6.45,18.4,Contamination,7,8,5,0,CNT_Interconnects
Laser Ablation,Ar,1244.8,506.97,2.63,36.25,88.75,0.814,1.608,1183.93,108.7,894700,129.5432,Biomedical,8.75,17.5,72.88,Contamination,5,5,7,0,CNT_EMI_Composites
Arc Discharge,He,4015.18,313.87,2.82,40.17,76.93,0.476,10.886,1679.69,129.88,607000,154.1537,Biomedical,9.27,28.09,64.02,Thermal_Runaway,8,3,7,1,CNT_EMI_Composites
Arc Discharge,He,3886.16,285.52,1.53,71.76,71.84,0.252,2.445,981.95,118.91,551000,187.4311,Interconnect,9.49,5.05,9.39,Junction_Breakdown,9,8,6,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,3704.62,334.26,2.22,59.1,88.83,0.563,19.864,798.64,74.24,745700,119.1608,Biomedical,9.9,27.61,69.54,Drift_in_Sensitivity,9,3,6,0,CNT_Interconnects
CVD,C2H2,658.69,103.37,2.2,71.87,92.14,0.655,24.012,183.33,121.05,900100,118.1952,Biomedical,7.46,21.66,41.34,Electromigration,6,5,4,1,CNT_Synthesis_Optimization
Arc Discharge,He,4155.74,379.27,2.92,48.41,72.9,0.331,15.754,937.08,130.49,481800,167.4338,Energy_Electrode,10.81,0.77,180.21,Drift_in_Sensitivity,9,8,8,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1192.91,576.61,0.65,63.11,85.06,0.622,11.666,214.81,110.74,835100,113.9296,Energy_Electrode,19.87,14.35,162.44,Contamination,5,3,3,0,CNT_Sensors
CVD,CO,738.24,105.27,0.88,24.59,98.77,0.404,23.1,363.1,133.78,590900,139.5903,Sensor,10.55,55,27.26,Pore_Collapse,5,7,8,0,CNT_Synthesis_Optimization
CVD,CH4,697.85,308.03,1.85,100.83,90,0.439,13.101,1013.45,72.93,726800,126.4615,Energy_Electrode,15.53,6.18,276.12,Contamination,6,5,4,0,CNT_Energy_Electrodes
Arc Discharge,Ar,3768.68,210.89,1.47,13.6,79.95,0.338,23.01,1416.48,87.5,629700,135.8603,Sensor,6.01,42.44,15.08,Thermal_Runaway,4,3,2,0,CNT_Synthesis_Optimization
Arc Discharge,He,3715.28,339.89,0.51,97.87,75.39,0.296,22.125,1590.18,70.15,453100,194.0769,Energy_Electrode,26.89,18.53,273.42,Junction_Breakdown,5,2,5,1,CNT_EMI_Composites
Laser Ablation,Ar,1336.44,507.11,2.96,58.81,86.21,0.732,1.217,1037.47,101.28,896900,125.6688,EMI_Shielding,77.28,6.74,9.13,Electromigration,7,3,5,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1141.36,471.2,0.81,27.85,88.86,0.823,0.77,103.9,124.17,1011000,95.069,Biomedical,12.74,32.36,33.62,Drift_in_Sensitivity,9,3,8,1,CNT_Interconnects
Arc Discharge,He,4106.33,498.91,2.74,77.26,85.51,0.289,11.743,1610.06,123.43,539400,151.6788,Energy_Electrode,16.7,18.88,277.59,Drift_in_Sensitivity,6,7,4,0,CNT_Interconnects
Laser Ablation,Ar,1193.82,484.68,1.45,90.54,86.12,0.658,28.407,1415.03,143.01,767200,142.3751,EMI_Shielding,76.07,4.64,9.87,Electromigration,8,2,2,1,CNT_Energy_Electrodes
CVD,CH4,706.24,350.06,1.59,39.95,93.25,0.713,1.078,162.2,62.98,964200,86.3246,EMI_Shielding,56.16,2.66,17.59,Drift_in_Sensitivity,4,4,5,1,CNT_Sensors
CVD,CH4,778.24,334.64,0.93,72.98,97.34,0.61,22.1,1533.13,137.89,684900,121.1702,Sensor,21.66,48.49,46.89,Matrix_Cracking,4,3,4,1,CNT_Interconnects
CVD,C2H2,706.75,190.68,1.97,51.44,97.63,0.418,5.373,1866.32,62.23,750800,106.8475,EMI_Shielding,64.24,6.81,59.81,Thermal_Runaway,6,8,6,1,CNT_Energy_Electrodes
CVD,C2H2,652.21,134.19,2.57,40.54,94.32,0.734,0.964,603.67,129.42,857800,105.0576,Sensor,19.92,83.02,39.51,Electromigration,8,4,3,1,CNT_Energy_Electrodes
Arc Discharge,He,3999.92,320.75,0.53,24.96,77.53,0.594,8.232,1867.85,41.66,536000,181.8298,Energy_Electrode,29.9,10.19,56.21,Electromigration,4,6,2,1,CNT_Interconnects
CVD,CH4,742.06,295.4,2.63,41.23,87.62,0.597,24.773,815.04,128.45,783900,135.8874,Biomedical,10.39,11.93,42.92,Electromigration,6,8,5,1,CNT_EMI_Composites
CVD,CH4,660.68,167,2.29,57.79,87.97,0.735,0.741,1101.62,133.61,788800,138.2558,Biomedical,9.38,28.38,28.91,Junction_Breakdown,6,7,2,1,CNT_EMI_Composites
Arc Discharge,He,4055.56,492.94,2.35,78.6,78.49,0.451,29.176,238.33,95.37,535900,208.2073,Interconnect,10.3,6.01,19.96,Pore_Collapse,8,2,3,1,CNT_Interconnects
Arc Discharge,He,3945.29,412.22,2.88,49.68,80.67,0.275,16.823,561.92,52.6,451300,184.4642,Energy_Electrode,16.85,12.09,246.59,Contamination,8,8,5,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1171.26,506.33,2.47,46.28,86.72,0.753,1.288,1937.58,43.78,667600,174.8572,Energy_Electrode,33.68,7.42,154.47,Electromigration,7,3,7,1,CNT_Sensors
CVD,CO,650.88,347.63,1.4,74.17,92.96,0.74,1.458,1906.27,142.56,704200,141.4936,Interconnect,1.22,8.45,21.47,Drift_in_Sensitivity,7,3,6,0,CNT_Sensors
CVD,CO,760.71,106.38,2.6,64.72,85.83,0.527,24.375,1764.04,56.1,693900,121.3856,Interconnect,11.6,6.24,16.92,Junction_Breakdown,7,8,6,0,CNT_Sensors
Arc Discharge,He,3668.75,314.56,2.08,52.63,77.28,0.43,29.291,1923.05,139.03,466900,240.152,Interconnect,14.34,9.09,29.56,Pore_Collapse,9,3,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,3835.4,482.32,0.57,43.38,82.2,0.459,26.837,442.7,126.97,585200,138.8029,Sensor,19.85,78.83,19.79,Contamination,9,6,4,1,CNT_EMI_Composites
CVD,CO,696.14,343.55,1.46,48.04,95.46,0.643,24.059,1620.56,119.58,927900,112.5264,Interconnect,5.88,6.13,24.95,Thermal_Runaway,5,7,2,1,CNT_EMI_Composites
Laser Ablation,Ar,1201.1,554.13,2.53,58.45,86.11,0.661,21.778,562.2,123.19,866800,130.4051,Sensor,7.65,49.4,11.23,Pore_Collapse,6,2,4,1,CNT_Interconnects
Laser Ablation,Ar,1242.65,559.63,2.31,75.38,88.13,0.81,0.706,1445.1,122.23,991500,116.8658,Sensor,9.01,78.34,43.05,Pore_Collapse,5,6,8,0,CNT_Synthesis_Optimization
CVD,CO,593.67,303.61,1.68,77.57,88.16,0.433,2.479,1569.75,137.14,622000,133.529,EMI_Shielding,43.54,7.8,40.99,Electromigration,5,8,2,0,CNT_Synthesis_Optimization
CVD,CH4,729.51,200.98,2.41,84.34,98.28,0.434,23.859,969.89,122.85,634600,177.4026,EMI_Shielding,69.22,5.39,15.78,Matrix_Cracking,7,6,2,0,CNT_Sensors
Laser Ablation,Ar,1248.94,562.03,0.7,49.08,87.31,0.869,0.793,155.31,43.35,698700,131.7911,Energy_Electrode,19.03,4.3,126.27,Electromigration,9,7,4,1,CNT_EMI_Composites
CVD,CO,646.07,287.76,2.95,28.23,97.93,0.452,26.513,807.36,138.92,871900,114.7499,Biomedical,9.5,24.38,40.36,Thermal_Runaway,8,3,6,1,CNT_Sensors
Laser Ablation,Ar,1289.4,577.49,1.12,90.66,86.65,0.689,18.838,469.91,101.7,860900,126.9135,Sensor,5.52,24.93,55.99,Drift_in_Sensitivity,5,4,2,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4302.13,264.01,1.17,60.62,76.52,0.508,21.643,789.45,117.57,488600,188.7958,Biomedical,10.79,36.06,43.93,Electromigration,8,5,5,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1230.34,468.96,2.27,61.87,85.62,0.79,1.227,1671.26,128.81,712500,150.0499,Sensor,19.92,39.53,43.16,Electromigration,4,4,2,0,CNT_Interconnects
Laser Ablation,Ar,1354.62,545.74,1.68,35.93,88.61,0.696,20.821,1601.21,147.34,642700,156.2112,Interconnect,2.65,9.06,30.85,Junction_Breakdown,7,7,8,0,CNT_Energy_Electrodes
CVD,C2H2,705.02,241.88,0.83,44.92,93.56,0.572,3.068,1758.53,120.79,665300,126.9146,Biomedical,5.54,14.94,9.11,Matrix_Cracking,7,7,7,1,CNT_EMI_Composites
Arc Discharge,He,4470.3,250.61,1.96,77.77,82.18,0.567,13.821,1115.21,102,766900,129.1685,Interconnect,7.74,7.33,13.01,Thermal_Runaway,7,5,7,1,CNT_EMI_Composites
Laser Ablation,Ar,1190.07,432.08,2.39,39.21,86.72,0.775,1.873,401.98,102.48,757700,106.0396,Energy_Electrode,39.7,13.37,246.26,Matrix_Cracking,5,3,4,1,CNT_Sensors
CVD,CO,746.09,307.24,2.64,45.94,85.13,0.438,9.259,1983.5,130.71,717300,133.6064,Sensor,13.23,40.2,38.53,Contamination,7,8,5,0,CNT_Interconnects
CVD,CH4,752.5,209.18,0.82,41.09,95.32,0.793,0.9,1345.15,66,855600,97.5615,Sensor,18.07,39.44,37.6,Drift_in_Sensitivity,7,7,4,0,CNT_EMI_Composites
CVD,C2H2,738.37,213.47,2.32,42.03,91.61,0.629,13.076,736.25,132.38,885300,109.0214,Sensor,18.62,59.74,9.59,Matrix_Cracking,9,8,5,0,CNT_EMI_Composites
Arc Discharge,He,4316.8,407.82,0.93,58.39,72.68,0.429,9.977,840.3,146.31,502300,185.6937,Biomedical,15.44,29.85,67.09,Electromigration,7,8,8,1,CNT_Synthesis_Optimization
Arc Discharge,He,3707.37,359.84,2.21,73.52,70.24,0.471,10.501,1857.83,132.91,443900,228.9992,Energy_Electrode,36.69,11.22,276.78,Electromigration,7,7,3,0,CNT_Energy_Electrodes
CVD,C2H2,632.48,227.53,0.63,78.49,96.49,0.698,27.811,1640.99,127.66,1014000,105.2649,Energy_Electrode,27.46,6.89,176.28,Thermal_Runaway,4,8,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1330.07,585.97,2.55,97.97,86.77,0.873,0.747,987.23,48.5,761500,148.4188,Biomedical,7.2,16.25,27.53,Thermal_Runaway,5,5,6,0,CNT_Interconnects
CVD,C2H2,699.44,156.55,2.19,72.56,87.27,0.648,26.162,136.09,72.08,897500,133.3,EMI_Shielding,74.13,4.95,34.07,Junction_Breakdown,8,3,3,0,CNT_Synthesis_Optimization
CVD,CH4,817.28,382.58,1.59,57.74,88.71,0.66,14.414,1692.05,56.21,671700,132.2318,Interconnect,7.72,7.78,37.76,Contamination,9,7,6,0,CNT_Synthesis_Optimization
CVD,C2H2,739.15,348.7,2.69,64.41,91.07,0.669,4.857,1715.53,88.01,792700,131.0773,Energy_Electrode,24.07,14.64,136.76,Contamination,5,4,8,0,CNT_Energy_Electrodes
CVD,CO,701.71,113.84,1.71,25.79,95.04,0.711,1.506,1533.6,146.26,969600,88.4875,Sensor,15.1,51.55,42.52,Pore_Collapse,9,3,8,0,CNT_Energy_Electrodes
Arc Discharge,Ar,4524.34,448.25,2.67,68.78,77.26,0.533,19.52,88.89,96.81,698000,154.2739,Energy_Electrode,10.43,11.04,132.92,Contamination,4,5,3,1,CNT_EMI_Composites
CVD,CO,686.11,398.18,0.69,73.57,98.94,0.641,21.946,875.92,80.05,948600,115.6067,Energy_Electrode,14.08,5.58,295.65,Thermal_Runaway,9,6,5,0,CNT_EMI_Composites
Arc Discharge,Ar,3984.68,404.05,1.3,81.56,78.8,0.429,11.085,511.58,143.77,497100,202.2973,Energy_Electrode,16.34,5.28,188.38,Contamination,5,5,2,1,CNT_Sensors
Laser Ablation,Ar,1201.91,436.15,1.09,68.16,85.42,0.893,1.026,1799.81,146.81,764000,143.8688,Interconnect,2.24,2.79,35.6,Matrix_Cracking,8,5,3,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1215.69,502.39,1.39,22.75,85.4,0.815,1.742,746.62,137.6,718200,151.4067,Interconnect,11.13,0.59,25.39,Contamination,6,7,5,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1265.7,483.3,2.65,53.84,89.83,0.742,1.853,1521.47,116.22,785800,149.0626,Energy_Electrode,37.82,15.29,215.63,Pore_Collapse,4,8,3,1,CNT_Synthesis_Optimization
Arc Discharge,He,3922.53,279.86,2.6,70.81,80.1,0.324,17.984,414.89,144.76,466500,199.7496,EMI_Shielding,49.92,6.24,53.1,Pore_Collapse,6,2,3,1,CNT_Synthesis_Optimization
Arc Discharge,Ar,4134.78,221.92,2.9,43.11,79.44,0.238,17.968,1467.59,130.24,450400,263.1374,EMI_Shielding,42.79,8.63,10.84,Drift_in_Sensitivity,6,3,5,0,CNT_EMI_Composites
Laser Ablation,Ar,1318.51,528.91,2.92,74.81,86.02,0.777,1.522,508.86,118.13,955100,97.1025,EMI_Shielding,27.9,1.15,46.78,Electromigration,9,3,4,0,CNT_Interconnects
Laser Ablation,Ar,1195.76,433.01,2.72,10.72,89.54,0.894,1.269,341.85,47.99,1023000,85.3557,Biomedical,16.92,23.6,19.15,Electromigration,4,4,8,0,CNT_EMI_Composites
Arc Discharge,He,3981.63,363.05,0.86,102.56,74.29,0.529,27,580.74,71.64,575800,180.8738,Biomedical,8.68,21.35,62.42,Junction_Breakdown,5,4,5,1,CNT_Interconnects
CVD,C2H2,799.07,253.29,2.14,69.04,90.56,0.643,16.897,165.04,40.33,758000,157.0362,Biomedical,9.97,6.46,33.6,Contamination,4,6,6,0,CNT_Interconnects
Arc Discharge,He,3872.5,380.7,1.93,22.86,89.32,0.341,12.831,1834.29,57.29,651800,135.6099,Biomedical,21.2,39.25,30.75,Matrix_Cracking,8,2,2,0,CNT_Interconnects
Laser Ablation,Ar,1093.88,548.59,1.82,71.68,85.04,0.795,1.072,316.49,88.27,692100,173.1877,Energy_Electrode,12.01,9.1,297.3,Junction_Breakdown,5,6,3,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4354.98,320.77,2.59,56.68,71.93,0.371,26.992,928.37,66.72,543800,215.4414,Biomedical,22.85,8.41,30.76,Matrix_Cracking,4,4,4,0,CNT_EMI_Composites
Arc Discharge,He,4223.14,468.77,1.14,69.47,89.51,0.317,26.208,1218.62,147.52,718200,125.3342,Sensor,14.83,58.85,50.98,Matrix_Cracking,7,8,5,1,CNT_Interconnects
Laser Ablation,Ar,1150.65,542.09,2.21,76.37,89.17,0.767,1.936,1847.58,55.79,680200,172.7927,Sensor,21.41,73.82,51.85,Drift_in_Sensitivity,7,3,6,0,CNT_Synthesis_Optimization
CVD,CO,774.74,349.14,0.85,68.5,91.41,0.734,1.286,568.6,62.06,717200,135.9504,Biomedical,14.83,27.31,39.95,Electromigration,8,6,6,1,CNT_Interconnects
Laser Ablation,Ar,1083.62,447.03,0.53,48.99,86.54,0.709,1.793,1080.74,52.1,635900,163.6542,EMI_Shielding,42.69,9.84,24.84,Matrix_Cracking,8,2,8,1,CNT_Interconnects
CVD,C2H2,781.75,273.33,2.24,60.26,87.44,0.581,19.535,1600.16,80.89,868800,129.1533,Energy_Electrode,37.09,0.43,96.61,Pore_Collapse,6,7,7,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1126.19,455.84,2.45,29.6,86.98,0.688,4.396,1021.57,139.48,894900,115.939,Sensor,6.38,29.37,8.45,Matrix_Cracking,9,7,3,1,CNT_Interconnects
Arc Discharge,He,4086.5,404.63,0.65,69.8,78.71,0.505,11.401,1507.4,116.31,572500,169.8109,Interconnect,10.45,6.93,26.33,Matrix_Cracking,7,6,6,1,CNT_Energy_Electrodes
CVD,CH4,741.6,363.22,1.16,65.62,89.76,0.524,18.813,1275.65,41.42,781500,138.146,Biomedical,16.44,27.01,7.08,Electromigration,5,3,5,0,CNT_Energy_Electrodes
CVD,CH4,623.79,139.82,1.5,99.94,88.13,0.403,10.886,272.79,89.86,614000,135.3804,Biomedical,17.59,28.47,18.69,Drift_in_Sensitivity,4,6,6,1,CNT_Sensors
Arc Discharge,Ar,3156.26,392.18,1.99,10.29,81.72,0.584,17.627,571.98,66.77,734800,135.8723,EMI_Shielding,63.07,8.92,13.21,Contamination,5,4,6,0,CNT_Synthesis_Optimization
Arc Discharge,He,3838.92,375.88,2.76,42.08,80.54,0.584,8.038,569.57,53.17,798700,121.9644,Sensor,13.3,47.85,53.57,Matrix_Cracking,9,4,8,1,CNT_Sensors
Laser Ablation,Ar,1111.91,595.05,0.54,82.34,88.68,0.816,0.709,1364.53,93.85,795300,131.954,Sensor,15.43,88.83,50.69,Junction_Breakdown,6,3,5,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1144.69,580.67,2.36,45.59,86.48,0.782,1.358,1434.52,142.48,960700,105.4462,Interconnect,12.19,7.61,11.52,Junction_Breakdown,6,5,4,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1170.54,458.35,2.57,49.75,89.98,0.728,1.028,1185.12,102.76,960500,92.9856,EMI_Shielding,47.77,6.63,77.48,Junction_Breakdown,9,3,3,1,CNT_EMI_Composites
CVD,CO,701.42,170.32,1.69,57.46,94.25,0.629,6.422,436.5,82.01,877000,105.0827,Biomedical,15.89,5.57,60.73,Pore_Collapse,7,7,5,1,CNT_Sensors
CVD,C2H2,672.8,323.96,2.14,64.31,94.38,0.562,6.233,937.07,136.28,744000,138.7285,Energy_Electrode,35.3,7.79,73.33,Pore_Collapse,6,3,5,1,CNT_Interconnects
Laser Ablation,Ar,1220.04,433.31,0.9,76.54,89.99,0.612,5.192,911.14,67.26,819100,130.7617,Interconnect,3.31,9.46,39.3,Electromigration,5,5,4,0,CNT_Energy_Electrodes
CVD,CO,702.75,293.99,1.26,65.76,86.4,0.592,21.839,1125.11,149.14,696900,132.7542,Sensor,16.4,89.95,51.23,Contamination,4,8,2,1,CNT_Interconnects
CVD,CO,788.57,147.88,1.59,42.24,88.21,0.551,11.132,484.01,90.8,630800,157.9015,EMI_Shielding,37.62,3.41,18.42,Matrix_Cracking,6,7,6,1,CNT_Sensors
Laser Ablation,Ar,1155.68,494.2,1.82,86.17,88.81,0.865,1.419,750.43,80.36,1001000,88.0278,EMI_Shielding,40.15,2.96,69.38,Pore_Collapse,8,7,8,1,CNT_Energy_Electrodes
CVD,CH4,725.71,374.08,2.2,41.84,93.82,0.738,1.322,665.62,131.39,810300,129.9667,Sensor,7.68,46.16,38.5,Thermal_Runaway,9,4,7,1,CNT_Synthesis_Optimization
CVD,CH4,786.53,282.43,2.24,24.63,93.57,0.586,26.726,392.47,94.4,819900,105.0696,Energy_Electrode,12.4,2.79,215.57,Pore_Collapse,5,4,8,0,CNT_EMI_Composites
Arc Discharge,Ar,3898.45,294.74,1.38,104.39,84.34,0.344,9.738,1896.62,139.24,484200,220.2317,Sensor,29.36,82.48,21.95,Contamination,4,4,8,0,CNT_Energy_Electrodes
Arc Discharge,Ar,3581.2,358.49,1.2,37.54,79.35,0.591,25.433,1146.36,43.79,713700,141.215,Interconnect,15.9,3.11,7.39,Junction_Breakdown,6,5,4,1,CNT_Energy_Electrodes
Arc Discharge,Ar,4321.95,486.61,1,54.33,80.43,0.241,28.472,974.86,133,465700,210.6069,Biomedical,16.27,23.44,67.74,Pore_Collapse,6,5,8,1,CNT_Interconnects
Arc Discharge,Ar,4657.05,260.95,2.08,50.12,76.43,0.202,1.563,440.59,107.08,454700,260.1369,Interconnect,5.77,6.89,13.36,Matrix_Cracking,5,8,6,0,CNT_Sensors
Arc Discharge,He,4061.91,219.05,1.52,62.87,76.72,0.543,15.804,1073.36,87.97,701100,154.1563,Biomedical,22.89,15.98,50.25,Matrix_Cracking,6,5,4,1,CNT_Synthesis_Optimization
CVD,CO,751.53,200.02,1.7,65.59,86.05,0.634,9.907,1379.14,71.47,680000,125.3277,Sensor,28.52,64.61,15.76,Junction_Breakdown,5,7,5,1,CNT_Sensors
